rank,theme,artist,title,score
1,happiness,The Sundays,Joy,77
2,happiness,Timbaland & Magoo / Ginuwine / Playa,Joy,57
3,happiness,Clay Aiken,Joy To The World,48
4,happiness,Vanessa Williams,Joy To The World,48
5,happiness,The Jacksons,Enjoy Yourself,40
6,happiness,Prince,Joy In Repetition ( LP Version ),38
7,happiness,Simon & Garfunkel,You Can Tell The World,33
8,happiness,Jody McBrayer,Unspeakable Joy  (This Is Who I Am Album Version),32
9,happiness,Chuck Jackson,Rosalind,31
10,happiness,A+,Enjoy Yourself,31
11,happiness,Combichrist,enjoy the abuse,30
12,happiness,Lucinda Williams,Joy,29
13,happiness,David Crowder*Band,You Are My Joy (Everything Glorious Album Version),28
14,happiness,Gay Dad,Joy !,27
15,happiness,Roxette,Joy Of A Toy,27
16,happiness,Marvin Gaye,Pride And Joy,25
17,happiness,Miki Howard,Come Share My Love (2006 Remastered LP Version),25
18,happiness,Wham!,Wham Rap! (Enjoy What You Do?),25
19,happiness,Snow Patrol,You Are My Joy,24
20,happiness,Prince,Private Joy (LP Version),22
21,happiness,Charlotte Church,God Rest Ye Merry_ Gentlemen,21
22,happiness,Straight No Chaser,God Rest Ye Merry Gentlemen (Album Version),21
23,happiness,MxPx,Drum Machine Joy,20
24,happiness,Aimee Mann,God Rest Ye Merry Gentleman,20
25,happiness,Avalon,Joy (To The World),20
26,happiness,Soul II Soul,Joy,20
27,happiness,Jolie Holland,Enjoy Yourself,20
28,happiness,Karyn White,Love Saw It (LP Version),19
29,happiness,The Specials,Enjoy Yourself (It's Later Than You Think),18
30,happiness,Take 6 (And The Yellowjackets),God Rest Ye Merry Gentlemen (Album Version),18
31,happiness,The Specials,Enjoy Yourself (Reprise) (2002 Digital Remaster),18
32,happiness,Matt Belsante,God Rest Ye Merry Gentlemen (White Christmas Album Version),18
33,happiness,The Memphis Horns,God Rest Ye Merry Gentlemen,18
34,happiness,Ruben Studdard,Center Of My Joy,17
35,happiness,Harry Nilsson,Joy,17
36,happiness,Mariah Carey,Joy To The World,17
37,happiness,Bad Company,Cross Country Boy,17
38,happiness,Ledisi,Joy,16
39,happiness,4Him,God Rest Ye Merry Gentlemen,16
40,happiness,Nina Sky,Temperature's Rising,16
41,happiness,Leela James,My Joy (Album Version),16
42,happiness,Leela James,My Joy (Live Version),16
43,happiness,Great Big Sea,Seven Joys Of Mary,14
44,happiness,Warrior Soul,Ha Ha Ha,14
45,happiness,Kate Bush,Bertie,14
46,happiness,Anita Baker,You Bring Me Joy,14
47,happiness,Boney M.,Joy To The World,14
48,happiness,Tree63,Joy (Tree63 Album Version),13
49,happiness,Kate & Anna McGarrigle,God Rest Ye Merry Christmas,13
50,happiness,Silverio,Enjoy the Ride,13
